Classifier,Neighbors,Metric,BatchSize,TotalTime,Accuracy,ConfusionMatrix
KNN,3,manhattan,20000,32.96,94.96,"[[5482, 4, 2, 9, 3, 2, 20, 2, 33, 3], [0, 6294, 111, 38, 53, 5, 28, 73, 12, 41], [13, 16, 5668, 94, 3, 1, 12, 60, 17, 4], [3, 2, 27, 5633, 1, 49, 1, 63, 21, 19], [12, 10, 4, 1, 5371, 4, 100, 18, 10, 192], [9, 6, 4, 341, 2, 4997, 40, 9, 62, 69], [33, 14, 1, 0, 4, 35, 5741, 0, 30, 0], [0, 24, 48, 70, 51, 1, 0, 5829, 7, 67], [39, 33, 29, 65, 43, 23, 53, 27, 5211, 172], [15, 6, 18, 60, 91, 11, 7, 103, 38, 5464]]"
KNN,1,manhattan,15000,24.63,94.96,"[[5482, 4, 2, 9, 3, 2, 20, 2, 33, 3], [0, 6294, 111, 38, 53, 5, 28, 73, 12, 41], [13, 16, 5668, 94, 3, 1, 12, 60, 17, 4], [3, 2, 27, 5633, 1, 49, 1, 63, 21, 19], [12, 10, 4, 1, 5371, 4, 100, 18, 10, 192], [9, 6, 4, 341, 2, 4997, 40, 9, 62, 69], [33, 14, 1, 0, 4, 35, 5741, 0, 30, 0], [0, 24, 48, 70, 51, 1, 0, 5829, 7, 67], [39, 33, 29, 65, 43, 23, 53, 27, 5211, 172], [15, 6, 18, 60, 91, 11, 7, 103, 38, 5464]]"
KNN,1,manhattan,10000,16.52,94.96,"[[5482, 4, 2, 9, 3, 2, 20, 2, 33, 3], [0, 6294, 111, 38, 53, 5, 28, 73, 12, 41], [13, 16, 5668, 94, 3, 1, 12, 60, 17, 4], [3, 2, 27, 5633, 1, 49, 1, 63, 21, 19], [12, 10, 4, 1, 5371, 4, 100, 18, 10, 192], [9, 6, 4, 341, 2, 4997, 40, 9, 62, 69], [33, 14, 1, 0, 4, 35, 5741, 0, 30, 0], [0, 24, 48, 70, 51, 1, 0, 5829, 7, 67], [39, 33, 29, 65, 43, 23, 53, 27, 5211, 172], [15, 6, 18, 60, 91, 11, 7, 103, 38, 5464]]"
KNN,1,manhattan,20000,33.14,94.96,"[[5482, 4, 2, 9, 3, 2, 20, 2, 33, 3], [0, 6294, 111, 38, 53, 5, 28, 73, 12, 41], [13, 16, 5668, 94, 3, 1, 12, 60, 17, 4], [3, 2, 27, 5633, 1, 49, 1, 63, 21, 19], [12, 10, 4, 1, 5371, 4, 100, 18, 10, 192], [9, 6, 4, 341, 2, 4997, 40, 9, 62, 69], [33, 14, 1, 0, 4, 35, 5741, 0, 30, 0], [0, 24, 48, 70, 51, 1, 0, 5829, 7, 67], [39, 33, 29, 65, 43, 23, 53, 27, 5211, 172], [15, 6, 18, 60, 91, 11, 7, 103, 38, 5464]]"
KNN,5,manhattan,20000,32.84,94.92,"[[5496, 5, 2, 11, 1, 2, 17, 2, 23, 1], [0, 6308, 125, 44, 54, 5, 27, 59, 5, 28], [15, 10, 5681, 83, 4, 1, 7, 71, 13, 3], [3, 2, 23, 5649, 2, 35, 1, 62, 19, 23], [13, 15, 6, 0, 5365, 0, 108, 22, 5, 188], [7, 7, 8, 417, 4, 4946, 40, 14, 51, 45], [32, 19, 2, 0, 3, 36, 5739, 0, 27, 0], [0, 27, 45, 68, 51, 2, 0, 5846, 5, 53], [41, 37, 34, 78, 39, 28, 53, 30, 5190, 165], [19, 12, 21, 79, 90, 7, 10, 101, 29, 5445]]"
KNN,7,manhattan,20000,33.01,94.89,"[[5493, 4, 1, 14, 2, 2, 17, 2, 24, 1], [0, 6289, 129, 44, 52, 4, 30, 61, 4, 42], [14, 10, 5666, 86, 3, 1, 7, 82, 15, 4], [3, 3, 19, 5644, 3, 37, 1, 62, 22, 25], [9, 14, 4, 0, 5363, 0, 115, 19, 5, 193], [5, 6, 6, 413, 8, 4936, 44, 16, 56, 49], [33, 18, 2, 0, 3, 32, 5739, 0, 31, 0], [0, 25, 40, 67, 50, 2, 0, 5849, 7, 57], [41, 35, 29, 66, 34, 30, 50, 32, 5208, 170], [18, 12, 12, 78, 89, 5, 11, 101, 27, 5460]]"
KNN,3,manhattan,10000,16.61,94.88,"[[5498, 4, 1, 11, 1, 2, 17, 2, 23, 1], [0, 6319, 124, 40, 52, 3, 27, 58, 4, 28], [17, 13, 5683, 77, 3, 1, 7, 71, 13, 3], [3, 3, 24, 5647, 3, 35, 0, 62, 19, 23], [13, 19, 8, 0, 5363, 0, 108, 19, 4, 188], [7, 8, 8, 428, 7, 4935, 39, 11, 51, 45], [34, 18, 2, 0, 3, 40, 5734, 0, 27, 0], [0, 30, 49, 66, 52, 2, 0, 5840, 5, 53], [46, 39, 36, 78, 42, 28, 49, 30, 5182, 165], [21, 13, 23, 79, 94, 7, 10, 101, 20, 5445]]"
KNN,3,manhattan,15000,24.88,94.75,"[[5480, 5, 4, 15, 5, 2, 20, 2, 26, 1], [0, 6289, 137, 44, 48, 4, 38, 58, 7, 30], [14, 12, 5678, 73, 2, 2, 13, 75, 15, 4], [3, 7, 19, 5636, 2, 41, 2, 70, 19, 20], [13, 14, 8, 0, 5366, 0, 98, 20, 10, 193], [8, 10, 8, 381, 7, 4958, 44, 15, 56, 52], [35, 16, 2, 0, 5, 41, 5724, 0, 35, 0], [0, 25, 54, 59, 51, 2, 0, 5837, 6, 63], [51, 37, 33, 84, 36, 26, 53, 28, 5169, 178], [17, 6, 27, 69, 105, 9, 10, 111, 28, 5431]]"
KNN,9,manhattan,20000,33.1,94.74,"[[5493, 2, 1, 17, 3, 2, 22, 2, 18, 0], [0, 6280, 141, 44, 52, 4, 30, 58, 4, 42], [14, 11, 5669, 83, 2, 1, 6, 85, 13, 4], [3, 3, 19, 5644, 2, 38, 2, 60, 23, 25], [10, 15, 4, 0, 5368, 0, 120, 17, 4, 184], [5, 9, 5, 466, 7, 4883, 46, 17, 51, 50], [34, 21, 1, 0, 3, 33, 5737, 0, 29, 0], [0, 28, 45, 67, 53, 2, 0, 5841, 7, 54], [38, 37, 30, 62, 34, 31, 59, 31, 5204, 169], [20, 11, 12, 78, 96, 3, 10, 112, 27, 5444]]"
KNN,5,manhattan,10000,16.52,94.72,"[[5496, 2, 1, 16, 2, 2, 23, 2, 16, 0], [0, 6287, 145, 39, 52, 3, 28, 62, 4, 35], [14, 11, 5681, 82, 2, 1, 6, 77, 11, 3], [3, 3, 23, 5647, 2, 37, 2, 61, 19, 22], [12, 17, 6, 0, 5370, 0, 117, 17, 4, 179], [5, 9, 5, 483, 7, 4881, 44, 14, 48, 43], [34, 21, 1, 0, 3, 34, 5739, 0, 26, 0], [0, 28, 47, 72, 56, 2, 0, 5837, 6, 49], [42, 41, 32, 71, 37, 30, 61, 32, 5183, 166], [21, 13, 12, 83, 102, 5, 11, 115, 24, 5427]]"
KNN,5,manhattan,15000,24.82,94.69,"[[5486, 4, 2, 15, 3, 2, 26, 2, 20, 0], [0, 6272, 148, 40, 48, 3, 33, 60, 5, 46], [15, 13, 5680, 74, 2, 1, 8, 79, 12, 4], [3, 3, 20, 5644, 3, 37, 1, 66, 19, 23], [12, 15, 6, 0, 5360, 0, 115, 18, 4, 192], [7, 8, 5, 437, 10, 4916, 45, 19, 47, 45], [37, 19, 1, 0, 3, 41, 5728, 0, 29, 0], [0, 25, 55, 61, 56, 2, 0, 5839, 6, 53], [47, 43, 32, 69, 40, 28, 56, 31, 5185, 164], [19, 15, 20, 75, 111, 5, 11, 109, 25, 5423]]"
