Classifier,BatchSize,TotalTime,Accuracy,ConfusionMatrix
KNN,20000,3.3629,93.8547,"[[5472, 3, 1, 15, 6, 2, 26, 2, 32, 1], [0, 6105, 175, 119, 56, 6, 35, 66, 34, 59], [12, 11, 5607, 165, 3, 1, 16, 51, 20, 2], [4, 1, 25, 5646, 2, 51, 1, 53, 20, 16], [12, 11, 13, 3, 5305, 9, 132, 24, 11, 202], [9, 3, 9, 489, 4, 4842, 41, 16, 83, 43], [31, 10, 4, 2, 3, 44, 5724, 0, 40, 0], [1, 25, 41, 119, 54, 1, 0, 5773, 7, 76], [36, 24, 42, 114, 32, 38, 50, 27, 5165, 167], [16, 9, 17, 107, 78, 9, 9, 131, 34, 5403]]"
KNN,19000,3.1136,93.8223,"[[5472, 3, 1, 15, 6, 2, 26, 2, 32, 1], [0, 6087, 174, 118, 57, 5, 36, 71, 47, 60], [12, 11, 5601, 169, 3, 1, 16, 54, 19, 2], [4, 2, 21, 5648, 2, 49, 1, 56, 20, 16], [13, 11, 16, 3, 5309, 0, 136, 24, 12, 198], [9, 3, 9, 500, 3, 4826, 41, 15, 88, 45], [30, 10, 5, 2, 3, 43, 5726, 0, 39, 0], [1, 25, 36, 125, 55, 1, 0, 5770, 7, 77], [37, 24, 39, 108, 31, 27, 55, 27, 5180, 167], [15, 9, 16, 110, 76, 7, 9, 131, 36, 5404]]"
KNN,18000,2.9891,93.7302,"[[5464, 3, 1, 15, 6, 2, 32, 3, 33, 1], [0, 6065, 185, 121, 60, 5, 37, 69, 51, 62], [13, 12, 5597, 169, 4, 1, 14, 57, 19, 2], [4, 2, 21, 5649, 1, 48, 1, 57, 20, 16], [14, 11, 16, 3, 5310, 0, 140, 25, 11, 192], [8, 3, 10, 489, 4, 4835, 42, 12, 91, 45], [28, 10, 5, 2, 5, 44, 5725, 0, 39, 0], [1, 23, 38, 130, 56, 1, 0, 5762, 8, 78], [38, 25, 40, 113, 34, 28, 58, 28, 5164, 167], [13, 8, 18, 112, 81, 9, 8, 131, 35, 5398]]"
KNN,16000,2.6563,93.7063,"[[5460, 4, 1, 17, 5, 2, 35, 3, 33, 0], [0, 6086, 178, 115, 59, 6, 46, 64, 50, 51], [13, 12, 5588, 176, 3, 2, 14, 56, 22, 2], [4, 3, 24, 5646, 0, 48, 2, 59, 18, 15], [11, 8, 16, 2, 5313, 0, 139, 24, 15, 194], [8, 3, 6, 463, 8, 4852, 47, 16, 90, 46], [33, 10, 3, 0, 6, 49, 5707, 0, 50, 0], [1, 23, 43, 116, 52, 1, 0, 5778, 8, 75], [36, 30, 42, 115, 36, 37, 54, 29, 5153, 163], [13, 8, 17, 105, 109, 7, 9, 132, 41, 5372]]"
KNN,17000,2.7581,93.6893,"[[5463, 4, 1, 16, 6, 2, 32, 3, 33, 0], [0, 6080, 176, 118, 57, 5, 46, 67, 48, 58], [13, 12, 5588, 171, 4, 1, 14, 60, 23, 2], [4, 3, 22, 5644, 1, 49, 1, 60, 19, 16], [13, 7, 16, 2, 5315, 0, 139, 24, 16, 190], [8, 3, 6, 476, 7, 4837, 47, 13, 96, 46], [37, 10, 3, 0, 5, 44, 5715, 0, 44, 0], [1, 22, 37, 134, 54, 1, 0, 5767, 8, 73], [36, 28, 40, 109, 35, 29, 55, 29, 5172, 162], [13, 8, 15, 106, 108, 9, 8, 132, 50, 5364]]"
KNN,13000,2.2378,93.5784,"[[5460, 3, 3, 19, 5, 2, 33, 3, 32, 0], [0, 6080, 170, 122, 55, 7, 48, 68, 41, 64], [15, 11, 5596, 168, 3, 2, 15, 57, 19, 2], [4, 3, 23, 5641, 0, 53, 2, 58, 20, 15], [11, 10, 19, 2, 5303, 0, 137, 23, 10, 207], [6, 4, 6, 507, 6, 4818, 47, 17, 83, 45], [36, 10, 3, 0, 5, 51, 5710, 0, 43, 0], [1, 22, 42, 122, 67, 1, 0, 5752, 6, 84], [34, 34, 41, 115, 34, 46, 52, 29, 5142, 168], [15, 9, 20, 111, 84, 8, 7, 138, 43, 5378]]"
KNN,14000,2.3854,93.5699,"[[5457, 3, 3, 22, 5, 2, 33, 3, 32, 0], [0, 6076, 178, 117, 52, 6, 49, 69, 44, 64], [13, 11, 5593, 169, 3, 2, 15, 57, 23, 2], [5, 4, 23, 5645, 0, 51, 2, 58, 17, 14], [11, 11, 18, 2, 5305, 0, 136, 21, 12, 206], [8, 4, 7, 500, 6, 4823, 47, 17, 82, 45], [34, 10, 3, 0, 8, 51, 5709, 0, 43, 0], [1, 23, 42, 120, 69, 1, 0, 5749, 9, 83], [34, 33, 44, 117, 36, 45, 53, 30, 5143, 160], [14, 9, 17, 113, 84, 8, 7, 143, 43, 5375]]"
KNN,12000,1.9955,93.5511,"[[5463, 2, 3, 19, 3, 3, 34, 3, 30, 0], [1, 6065, 170, 131, 57, 7, 46, 70, 41, 67], [16, 10, 5596, 168, 3, 2, 15, 57, 19, 2], [3, 3, 25, 5642, 0, 52, 2, 58, 19, 15], [12, 9, 18, 3, 5304, 0, 140, 21, 10, 205], [6, 4, 6, 518, 5, 4809, 47, 17, 83, 44], [36, 10, 3, 0, 3, 48, 5715, 0, 43, 0], [1, 16, 42, 123, 65, 1, 0, 5755, 7, 87], [33, 27, 44, 119, 32, 47, 51, 30, 5135, 177], [16, 8, 14, 113, 84, 8, 7, 139, 44, 5380]]"
KNN,15000,2.5413,93.5341,"[[5462, 4, 1, 18, 5, 2, 34, 3, 31, 0], [0, 6067, 179, 115, 54, 6, 48, 68, 49, 69], [12, 12, 5590, 173, 2, 2, 15, 58, 22, 2], [4, 3, 24, 5643, 0, 51, 2, 60, 17, 15], [10, 9, 18, 2, 5313, 0, 135, 23, 11, 201], [8, 3, 6, 495, 9, 4821, 50, 17, 84, 46], [34, 10, 3, 0, 8, 49, 5707, 0, 47, 0], [1, 23, 45, 119, 68, 1, 0, 5745, 9, 86], [37, 30, 44, 117, 37, 43, 59, 31, 5136, 161], [15, 8, 15, 110, 103, 7, 9, 137, 39, 5370]]"
KNN,10000,1.6928,93.4846,"[[5465, 2, 1, 20, 4, 2, 33, 3, 30, 0], [1, 6070, 182, 122, 57, 7, 44, 68, 39, 65], [14, 10, 5595, 170, 2, 1, 16, 56, 22, 2], [4, 4, 22, 5648, 1, 49, 2, 54, 17, 18], [14, 9, 13, 3, 5299, 0, 142, 23, 12, 207], [3, 3, 7, 579, 6, 4753, 46, 14, 81, 47], [36, 12, 3, 1, 4, 51, 5715, 0, 36, 0], [1, 22, 37, 125, 64, 1, 0, 5766, 8, 73], [35, 26, 44, 120, 31, 43, 50, 32, 5136, 178], [17, 13, 14, 113, 81, 3, 9, 142, 43, 5378]]"
